Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9	Gene10	Gene11	Gene12	Gene13	Gene14	Gene15	Gene16	Gene17	Gene18	Gene19	Gene20	Gene21	Gene22	Gene23	Gene24	Gene25
0.1743024	0.045389	0.4560812	0.7993796	0.0087179	0.364716	0.12419	0.0640765	0.0026188	0.6737036	0.080232	0.0314856	0.3877611	0.2067556	0.0959279	0.0044024	0.0006818	0.0640581	0.7112292	0.4624929	0.017635	0.0736782	0.6606177	0.0592549	0.0746154
0.1347798	0.0433837	0.2506309	0.8883096	0.0055368	0.22619	0.1529171	0.0837307	0.0	0.792749	0.0806637	0.2387143	0.3535928	0.2476843	0.1511753	0.011523	0.0488724	0.0268156	0.6981729	0.537516	0.0249792	0.0302069	0.6315237	0.0736612	0.063543
0.1636509	0.0260044	0.1117611	0.8707046	0.009515	0.3015027	0.2022822	0.0730346	0.0029522	0.7532046	0.1813402	0.3736085	0.3877629	0.2385802	0.1239471	0.0273189	0.0958682	0.0330152	0.706003	0.4445109	0.0111069	0.0462722	0.5936715	0.1133398	0.1068827
0.2276595	0.034919	0.0420445	0.7215295	0.0027861	0.3097312	0.1246272	0.0650041	0.0009571	0.8742439	0.1944082	0.5222228	0.4638256	0.1419722	0.1255832	0.0450473	0.1160965	0.0827327	0.749972	0.6248536	0.0239186	0.0738431	0.712525	0.2083971	0.0635665
0.1072814	0.02221	0.0231185	0.7053307	0.0129581	0.3609368	0.1111655	0.062394	0.0002073	0.6919109	0.1978268	0.4379777	0.3903822	0.1836309	0.1822268	0.0547779	0.2000181	0.0962956	0.6724568	0.6315214	0.0065208	0.0322409	0.6311258	0.1908668	0.0649306
0.1360765	0.0661353	0.0239039	0.8688935	0.0061752	0.4058133	0.1527448	0.0329324	0.003055	0.6915977	0.2644637	0.4673009	0.4580246	0.1688542	0.1442717	0.0448427	0.1490964	0.1304705	0.8075287	0.6646252	0.0097978	0.0398189	0.6903959	0.1761725	0.0580611
0.1655891	0.0660883	0.0181748	0.7129568	0.011277	0.4059897	0.1105421	0.0857373	0.0018347	0.7743189	0.317085	0.4440673	0.4008349	0.1668658	0.138993	0.0621363	0.1792265	0.1375913	0.8249807	0.648135	0.0080424	0.0544768	0.7345271	0.1371674	0.0491234
0.134235	0.0473691	0.0273444	0.7896517	0.0095793	0.4595789	0.1882039	0.0846676	0.0005854	0.7065016	0.4822339	0.4825162	0.3936015	0.2015021	0.2049826	0.0674744	0.1899749	0.1437528	0.821699	0.7266328	0.0290724	0.0424445	0.6337982	0.2281088	0.059957
0.1480997	0.0428524	0.0232514	0.6646821	0.0038908	0.5063243	0.1321101	0.0700359	0.0014046	0.6569117	0.3316309	0.4569922	0.4833446	0.2372206	0.1519575	0.0426716	0.1874062	0.1089056	0.8006702	1.0	0.0124912	0.10109	0.8775983	0.1676583	0.0457599
0.1578002	0.0151809	0.0051702	0.7881775	0.0028226	0.4244371	0.1113959	0.0446191	0.0005039	0.6915165	0.3493029	0.4802659	0.37794	0.2029416	0.1962325	0.0308666	0.1949333	0.0974425	0.9192969	0.802369	0.0133059	0.1074561	0.6554654	0.1994515	0.0500008
0.1311559	0.0261251	0.004616	0.7965747	0.0085736	0.4423964	0.1761068	0.034654	0.0016662	0.7333978	0.2842219	0.4181099	0.3633396	0.1475121	0.2070507	0.0406029	0.2076956	0.1281663	0.6726791	0.883853	0.015826	0.0437839	0.7218061	0.1966362	0.0354235
0.2028086	0.0398369	0.0155561	0.6905055	0.0154236	0.4422679	0.1793099	0.0566953	0.0002006	0.764507	0.3013505	0.4482409	0.3677867	0.1558657	0.1829335	0.0396605	0.2100916	0.0922735	0.9018852	0.6822843	0.0119231	0.0619526	0.7050946	0.2288138	0.0556608
0.114103	0.0383355	0.0141989	0.7101448	0.008733	0.3838279	0.1324622	0.0592082	0.0005863	0.9319979	0.3110793	0.4706185	0.3921218	0.140973	0.1558453	0.0326822	0.2006366	0.2358674	0.7102738	0.679201	0.0111581	0.0370969	0.686163	0.2241732	0.0656974
0.1660767	0.0538257	0.0231926	0.8558968	0.0122482	0.3768218	0.1809572	0.0566449	0.0009672	0.7706314	0.3621794	0.586875	0.4771736	0.1786299	0.2471803	0.0502201	0.2210022	0.1228936	0.752911	0.6630363	0.0224562	0.0391897	0.5585774	0.2124242	0.0468193
0.099918	0.0401819	0.0084587	0.6529328	0.0039939	0.4013285	0.1560054	0.0806263	0.0019403	0.7466526	0.3716665	0.5811618	0.3019025	0.1941808	0.1732363	0.0279126	0.1642737	0.0828512	0.7292429	0.6743422	0.0087203	0.0549151	0.6208816	0.2525544	0.0427598
0.1317583	0.0294853	0.0191929	0.6840117	0.0216175	0.418077	0.174452	0.0319197	0.0009976	0.7640542	0.2702659	0.4701376	0.3462163	0.2486807	0.1760246	0.0291965	0.1969181	0.1006505	0.8644235	0.6446433	0.0178594	0.0447241	0.6541	0.2084387	0.0566932
0.1027757	0.0253103	0.0328152	0.6527818	0.0225806	0.4813332	0.1732481	0.0528919	0.0103694	0.7561245	0.2385064	0.5843287	0.3802339	0.2467508	0.1385099	0.0320169	0.2154978	0.1182732	0.8416424	0.6909645	0.0157449	0.0354964	0.6658377	0.1725049	0.0659486
0.1399548	0.0554202	0.0290962	0.7218621	0.0301677	0.4851597	0.2456245	0.0635189	0.0079169	0.681711	0.3156354	0.3651931	0.3949159	0.1886815	0.1369014	0.0579462	0.2029597	0.1021332	0.8579146	0.7860451	0.0071139	0.0555661	0.5774708	0.2637895	0.0850662
0.1651716	0.0453574	0.0128763	0.723643	0.04451	0.3930024	0.1593335	0.0514946	0.0007918	0.5670171	0.4644421	0.3362638	0.3631819	0.1587811	0.2351667	0.0324296	0.2000415	0.1066494	0.8031252	0.7387332	0.007941	0.0876139	0.5380368	0.2511126	0.0492138
0.1478037	0.0327305	0.0131997	0.6801341	0.0132593	0.3921178	0.2074097	0.0515012	0.0029797	0.7807052	0.3959761	0.4172931	0.3918116	0.1954742	0.2133402	0.1119439	0.27422	0.1118845	0.7845967	0.7636886	0.0297033	0.0282247	0.735591	0.3752818	0.0633532
0.1201921	0.0544242	0.0074442	0.6768209	0.015553	0.3824204	0.2629824	0.0771485	0.0004972	0.9557572	0.475295	0.3999347	0.3825476	0.2566126	0.187232	0.0545341	0.1821933	0.1425209	0.8012704	0.7559874	0.0245915	0.0449569	0.6122791	0.2547407	0.0645913
0.1161558	0.0423776	0.0057056	0.6524999	0.0057571	0.4392508	0.180655	0.0731693	0.0034835	0.8352349	0.4575944	0.5844233	0.3752703	0.2101596	0.1876351	0.0595406	0.1600758	0.198312	0.7150045	0.7643475	0.0247258	0.0289446	0.6508311	0.230044	0.0348413
0.1144556	0.0268303	0.0069425	0.5860382	0.016279	0.4401877	0.2211216	0.0445075	0.0066446	0.7545042	0.3845198	0.4745974	0.4550599	0.2346363	0.1660777	0.0447152	0.185951	0.1396833	0.7701525	0.7009405	0.0186821	0.0631405	0.6466004	0.2554103	0.0616482
0.1583037	0.0360666	0.021554	0.7563282	0.0217261	0.3910757	0.1786602	0.0600343	0.0028505	0.6362831	0.4153482	0.5079234	0.4566128	0.1892215	0.2139967	0.0495092	0.2444965	0.1209799	0.8731291	0.6397065	0.0073818	0.0548901	0.6252368	0.160648	0.0360396
0.1183517	0.0413936	0.0147926	0.8074536	0.0096379	0.3539277	0.2314457	0.0653679	0.0081315	0.7220453	0.3045665	0.5086374	0.3783637	0.2198684	0.2062541	0.0497881	0.2021963	0.1308759	0.8492743	0.6291027	0.0162983	0.0567734	0.6477202	0.1630276	0.0840508
0.1364579	0.0548037	0.0205397	0.7607423	0.0089714	0.4134205	0.2237603	0.0461341	0.0105906	0.7525751	0.333219	0.4464328	0.3891904	0.2379811	0.1396389	0.0474171	0.2340517	0.1000249	0.762226	0.5472868	0.0180265	0.0726487	0.6407085	0.2390979	0.077525
0.1327934	0.0564347	0.361758	0.7423259	0.0308025	0.4951377	0.170104	0.0759271	0.0034845	0.7882669	0.2119827	0.2960939	0.4657527	0.2277583	0.164007	0.0147208	0.1345379	0.0808546	0.6881581	0.673189	0.0187604	0.0773086	0.5795148	0.1621684	0.0835866
0.1342617	0.0698272	0.6098144	0.7593325	0.0189627	0.3292092	0.1839263	0.0621646	0.0069664	0.7763624	0.2126566	0.1369989	0.364551	0.2053982	0.18041	0.011364	0.1312555	0.0374846	0.6678458	0.7731281	0.0135714	0.0517442	0.6491305	0.1462989	0.0453904
0.1729576	0.0505756	0.6344028	0.8062914	0.0217591	0.3411928	0.184707	0.059141	0.0070467	0.7278063	0.125287	0.0908797	0.3673595	0.2189663	0.1216954	0.015756	0.0890449	0.020954	0.7078452	0.6704591	0.0308812	0.0915778	0.6949334	0.1180071	0.0957198
0.1092421	0.0365763	0.4901369	0.67785	0.0094456	0.4123038	0.2040422	0.0620495	0.0083913	0.5417121	0.1562664	0.0644361	0.269129	0.1615383	0.0914634	0.0134786	0.0856025	0.0138274	0.5625237	0.5266677	0.0067693	0.0765992	0.5843404	0.0964476	0.0639465
